id,name,cc
1,"Harley-Davidson Club Nederland","NL"
2,"H-DC 't Centrum","NL"
3,"Harley-Davidson Club Brabant","NL"
4,"Harley-Davidson Club Limburg","NL"
5,"Harley-Davidson Club Friesland","NL"
6,"Harley-Davidson Club Gelderland","NL"
7,"Harley-Davidson Club Zeeland","NL"
8,"Harley-Davidson Club Belgium","BE"
9,"Harley-Davidson Club Antwerpen","BE"
10,"Harley-Davidson Club Vlaanderen","BE"
11,"Harley-Davidson Club Luxembourg","LU"
12,"Harley-Davidson Club Berlin","DE"
13,"Harley-Davidson Club Hamburg","DE"
14,"Harley-Davidson Club Bayern","DE"
15,"Harley-Davidson Club Rhein-Main","DE"
16,"Harley-Davidson Club Nordrhein-Westfalen","DE"
17,"Harley-Davidson Club Sachsen","DE"
18,"Harley-Davidson Club Baden-Württemberg","DE"
19,"Harley-Davidson Club Niedersachsen","DE"
20,"Harley-Davidson Club Schleswig-Holstein","DE"
21,"Harley-Davidson Club Hessen","DE"
22,"Harley-Davidson Club Paris","FR"
23,"Harley-Davidson Club Côte d'Azur","FR"
24,"Harley-Davidson Club Lyon","FR"
25,"Harley-Davidson Club Alsace","FR"
26,"Harley-Davidson Club Bretagne","FR"
27,"Harley-Davidson Club Normandie","FR"
28,"Harley-Davidson Club Wien","AT"
29,"Harley-Davidson Club Salzburg","AT"
30,"Harley-Davidson Club Tirol","AT"
31,"Harley-Davidson Club Zürich","CH"
32,"Harley-Davidson Club Bern","CH"
33,"Harley-Davidson Club Genève","CH"
34,"Harley-Davidson Club København","DK"
35,"Harley-Davidson Club Jylland","DK"
36,"Harley-Davidson Club Stockholm","SE"
37,"Harley-Davidson Club Göteborg","SE"
38,"Harley-Davidson Club Malmö","SE"
39,"Harley-Davidson Club Oslo","NO"
40,"Harley-Davidson Club Bergen","NO"
41,"Harley-Davidson Club Helsinki","FI"
42,"Harley-Davidson Club Tampere","FI"
43,"Harley-Davidson Club London","GB"
44,"Harley-Davidson Club Manchester","GB"
45,"Harley-Davidson Club Edinburgh","GB"
46,"Harley-Davidson Club Dublin","IE"
47,"Harley-Davidson Club Milano","IT"
48,"Harley-Davidson Club Roma","IT"
49,"Harley-Davidson Club Toscana","IT"
50,"Harley-Davidson Club Napoli","IT"
51,"Harley-Davidson Club Madrid","ES"
52,"Harley-Davidson Club Barcelona","ES"
53,"Harley-Davidson Club Andalucía","ES"
54,"Harley-Davidson Club Lisboa","PT"
55,"Harley-Davidson Club Porto","PT"
56,"Harley-Davidson Club Warszawa","PL"
57,"Harley-Davidson Club Kraków","PL"
58,"Harley-Davidson Club Praha","CZ"
59,"Harley-Davidson Club Brno","CZ"
60,"Harley-Davidson Club Bratislava","SK"
61,"Harley-Davidson Club Budapest","HU"
62,"Harley-Davidson Club Ljubljana","SI"
63,"Harley-Davidson Club Zagreb","HR"
64,"Harley-Davidson Club Beograd","RS"
65,"Harley-Davidson Club Bucureşti","RO"
66,"Harley-Davidson Club Sofia","BG"
67,"Harley-Davidson Club Athina","GR"
68,"Harley-Davidson Club Thessaloniki","GR"
69,"Harley-Davidson Club Istanbul","TR"
70,"Harley-Davidson Club Tallinn","EE"
71,"Harley-Davidson Club Rīga","LV"
72,"Harley-Davidson Club Vilnius","LT"
73,"Harley-Davidson Club Reykjavík","IS"
74,"Harley-Davidson Club Malta","MT"
